@relation distances

@attribute rssi1 numeric
@attribute rssi2 numeric
@attribute rssi3 numeric
@attribute target numeric

@data
-42,-43,-42,0.5
-43,-42,-49,0.5
-42,-42,-49,0.5
-42,-42,-44,0.5
-43,-42,-42,0.5
-44,-43,-42,0.5
-42,-48,-49,0.5
-42,-49,-44,0.5
-41,-42,-42,0.5
-42,-42,-43,0.5
-42,-44,-43,0.5
-42,-43,-49,0.5
-43,-43,-49,0.5
-49,-42,-42,0.5
-48,-42,-42,0.5
-42,-43,-42,0.5
-49,-42,-48,0.5
-42,-42,-48,0.5
-42,-42,-48,0.5
-43,-43,-48,0.5
-42,-49,-42,0.5
-49,-43,-42,0.5
-48,-48,-43,0.5
-43,-42,-48,0.5
-44,-41,-44,0.5
-41,-49,-42,0.5
-49,-42,-50,0.5
-43,-41,-49,0.5
-43,-42,-42,0.5
-49,-42,-44,0.5
-42,-43,-41,0.5
-49,-43,-42,0.5
-49,-42,-42,0.5
-49,-42,-41,0.5
-49,-42,-49,0.5
-43,-42,-48,0.5
-43,-42,-48,0.5
-43,-48,-48,0.5
-43,-43,-52,0.5
-44,-43,-43,0.5
-42,-44,-43,0.5
-43,-42,-47,0.5
-43,-43,-48,0.5
-43,-43,-43,0.5
-43,-42,-43,0.5
-42,-42,-43,0.5
-42,-48,-43,0.5
-42,-48,-43,0.5
-42,-43,-43,0.5
-43,-42,-42,0.5
-43,-43,-43,0.5
-42,-42,-43,0.5
-43,-42,-43,0.5
-47,-42,-43,0.5
-48,-48,-43,0.5
-42,-44,-43,0.5
-42,-44,-42,0.5
-48,-42,-42,0.5
-49,-43,-42,0.5
-43,-44,-42,0.5
-48,-44,-42,0.5
-43,-43,-42,0.5
-43,-48,-43,0.5
-42,-42,-44,0.5
-42,-43,-43,0.5
-43,-42,-43,0.5
-43,-48,-42,0.5
-42,-43,-48,0.5
-43,-42,-44,0.5
-43,-48,-43,0.5
-42,-43,-42,0.5
-48,-44,-43,0.5
-92,-42,-48,0.5
-42,-43,-42,0.5
-49,-44,-43,0.5
-42,-42,-48,0.5
-42,-49,-42,0.5
-43,-49,-43,0.5
-42,-43,-42,0.5
-42,-42,-49,0.5
-48,-42,-42,0.5
-43,-43,-49,0.5
-41,-43,-42,0.5
-42,-43,-42,0.5
-49,-41,-42,0.5
-42,-49,-49,0.5
-42,-42,-42,0.5
-48,-43,-42,0.5
-49,-43,-43,0.5
-42,-44,-42,0.5
-44,-43,-42,0.5
-42,-42,-43,0.5
-49,-42,-42,0.5
-41,-42,-43,0.5
-42,-42,-43,0.5
-42,-42,-43,0.5
-50,-42,-50,0.5
-44,-42,-42,0.5
-49,-43,-42,0.5
-49,-43,-49,0.5
-43,-42,-44,0.5
-42,-49,-43,0.5
-42,-49,-43,0.5
-42,-43,-42,0.5
-49,-42,-42,0.5
-43,-42,-43,0.5
-48,-43,-42,0.5
-42,-42,-42,0.5
-43,-42,-42,0.5
-42,-42,-43,0.5
-48,-43,-42,0.5
-49,-43,-43,0.5
-42,-42,-50,0.5
-42,-42,-49,0.5
-43,-49,-42,0.5
-42,-42,-42,0.5
-49,-43,-42,0.5
-42,-49,-43,0.5
-44,-43,-43,0.5
-49,-42,-49,0.5
-43,-48,-43,0.5
-42,-42,-44,0.5
-43,-43,-48,0.5
-43,-43,-43,0.5
-42,-44,-43,0.5
-42,-49,-42,0.5
-43,-42,-43,0.5
-42,-50,-42,0.5
-43,-42,-44,0.5
-42,-42,-48,0.5
-42,-43,-43,0.5
-42,-42,-49,0.5
-43,-49,-42,0.5
-42,-48,-42,0.5
-42,-49,-42,0.5
-42,-43,-42,0.5
-41,-49,-44,0.5
-42,-49,-43,0.5
-43,-42,-48,0.5
-42,-42,-42,0.5
-49,-43,-42,0.5
-49,-42,-49,0.5
-42,-42,-42,0.5
-48,-43,-42,0.5
-44,-43,-41,0.5
-44,-41,-42,0.5
-41,-42,-49,0.5
-42,-41,-44,0.5
-49,-41,-42,0.5
-43,-42,-49,0.5
-49,-42,-42,0.5
-49,-42,-42,0.5
-44,-42,-42,0.5
-42,-50,-42,0.5
-41,-49,-42,0.5
-42,-49,-48,0.5
-48,-43,-48,0.5
-42,-42,-42,0.5
-42,-49,-42,0.5
-50,-42,-42,0.5
-42,-42,-45,0.5
-42,-42,-49,0.5
-42,-45,-43,0.5
-42,-43,-42,0.5
-42,-42,-42,0.5
-49,-48,-43,0.5
-42,-42,-42,0.5
-43,-49,-42,0.5
-42,-49,-43,0.5
-42,-42,-42,0.5
-42,-43,-42,0.5
-42,-49,-43,0.5
-43,-43,-49,0.5
-43,-43,-43,0.5
-43,-49,-42,0.5
-43,-43,-43,0.5
-43,-43,-49,0.5
-43,-42,-44,0.5
-42,-41,-43,0.5
-45,-42,-43,0.5
-49,-43,-43,0.5
-43,-43,-42,0.5
-48,-42,-43,0.5
-42,-49,-43,0.5
-42,-43,-43,0.5
-42,-43,-49,1
-56,-47,-49,1
-56,-47,-50,1
-57,-46,-50,1
-57,-55,-56,1
-47,-51,-59,1
-47,-50,-57,1
-47,-51,-57,1
-50,-50,-57,1
-47,-50,-57,1
-47,-46,-46,1
-50,-56,-46,1
-46,-50,-56,1
-46,-50,-47,1
-49,-50,-55,1
-48,-55,-51,1
-55,-47,-51,1
-55,-46,-51,1
-56,-47,-56,1
-47,-48,-55,1
-47,-55,-46,1
-47,-50,-47,1
-52,-51,-47,1
-51,-51,-56,1
-51,-55,-51,1
-57,-50,-55,1
-51,-56,-47,1
-47,-51,-51,1
-55,-51,-51,1
-51,-55,-47,1
-51,-55,-51,1
-51,-56,-45,1
-51,-55,-51,1
-51,-47,-56,1
-47,-51,-56,1
-47,-51,-55,1
-47,-51,-51,1
-55,-47,-51,1
-56,-51,-55,1
-50,-51,-56,1
-47,-51,-55,1
-47,-51,-55,1
-51,-55,-51,1
-56,-47,-51,1
-56,-51,-51,1
-47,-51,-50,1
-56,-50,-50,1
-51,-56,-47,1
-50,-47,-51,1
-55,-47,-48,1
-50,-51,-47,1
-51,-55,-51,1
-56,-51,-48,1
-51,-55,-51,1
-50,-47,-50,1
-51,-50,-51,1
-47,-46,-50,1
-51,-50,-57,1
-50,-50,-57,1
-51,-50,-57,1
-47,-50,-58,1
-51,-58,-53,1
-51,-57,-50,1
-56,-47,-47,1
-47,-50,-58,1
-47,-48,-56,1
-46,-51,-60,1
-55,-50,-56,1
-47,-50,-47,1
-57,-50,-50,1
-55,-56,-50,1
-46,-50,-47,1
-57,-56,-47,1
-51,-50,-56,1
-58,-51,-50,1
-46,-50,-56,1
-47,-50,-56,1
-50,-57,-47,1
-50,-56,-50,1
-50,-47,-51,1
-50,-50,-58,1
-50,-46,-51,1
-57,-51,-51,1
-47,-51,-50,1
-51,-51,-51,1
-56,-51,-51,1
-57,-51,-82,1
-57,-47,-50,1
-47,-48,-58,1
-47,-51,-51,1
-45,-44,-49,1
-56,-59,-50,1
-51,-50,-46,1
-49,-63,-50,1
-58,-51,-60,1
-51,-51,-59,1
-52,-52,-57,1
-47,-58,-52,1
-58,-51,-52,1
-51,-62,-52,1
-51,-58,-51,1
-51,-57,-51,1
-57,-55,-46,1
-49,-46,-49,1
-56,-47,-53,1
-47,-49,-56,1
-50,-55,-46,1
-51,-51,-50,1
-54,-51,-50,1
-54,-51,-50,1
-47,-47,-49,1
-55,-51,-50,1
-55,-51,-53,1
-47,-50,-54,1
-50,-50,-53,1
-51,-55,-47,1
-56,-55,-51,1
-53,-46,-50,1
-54,-46,-51,1
-47,-51,-55,1
-47,-50,-54,1
-54,-47,-47,1
-54,-46,-50,1
-50,-50,-50,1
-55,-47,-50,1
-46,-46,-50,1
-51,-51,-53,1
-51,-54,-51,1
-51,-51,-47,1
-50,-51,-59,1
-51,-51,-46,1
-52,-47,-51,1
-52,-50,-47,1
-53,-51,-52,1
-50,-51,-53,1
-51,-47,-51,1
-55,-51,-53,1
-47,-50,-51,1
-51,-55,-47,1
-54,-47,-50,1
-54,-51,-54,1
-47,-54,-51,1
-54,-51,-51,1
-51,-55,-47,1
-51,-47,-54,1
-51,-51,-50,1
-56,-50,-47,1
-56,-47,-50,1
-47,-47,-56,1
-50,-50,-53,1
-97,-51,-51,1
-51,-53,-51,1
-52,-54,-51,1
-51,-55,-47,1
-50,-54,-51,1
-50,-54,-51,1
-51,-52,-51,1
-51,-51,-53,1
-52,-48,-54,1
-52,-51,-55,1
-51,-50,-55,1
-51,-54,-50,1
-55,-52,-54,1
-50,-53,-52,1
-47,-54,-51,1
-51,-54,-51,1
-51,-51,-52,1
-51,-50,-53,1
-52,-51,-53,1
-51,-50,-47,1
-54,-51,-51,1
-53,-51,-53,1
-47,-51,-54,1
-52,-51,-54,1
-51,-51,-50,1
-55,-51,-55,1
-51,-51,-52,1
-52,-51,-47,1
-51,-52,-51,1
-53,-51,-54,1
-47,-51,-51,1
-52,-51,-47,1
-47,-47,-50,1
-51,-50,-54,1
-54,-46,-50,1
-55,-51,-55,1
-46,-51,-50,1
-55,-50,-55,1
-50,-47,-47,1
-50,-47,-54,1
-47,-54,-46,1
-54,-54,-51,1
-55,-52,-55,1
-52,-51,-54,1
-51,-51,-54,1
-51,-50,-51,1
-54,-51,-53,1
-51,-54,-70,1.5
-61,-70,-59,1.5
-68,-57,-70,1.5
-59,-57,-70,1.5
-62,-57,-71,1.5
-60,-57,-70,1.5
-62,-58,-62,1.5
-57,-67,-64,1.5
-59,-57,-68,1.5
-61,-58,-68,1.5
-62,-59,-66,1.5
-59,-57,-58,1.5
-70,-62,-57,1.5
-69,-63,-58,1.5
-70,-59,-55,1.5
-66,-69,-55,1.5
-72,-59,-56,1.5
-72,-60,-56,1.5
-78,-64,-56,1.5
-70,-67,-57,1.5
-71,-56,-59,1.5
-61,-64,-69,1.5
-58,-69,-64,1.5
-57,-69,-65,1.5
-57,-68,-64,1.5
-57,-66,-62,1.5
-71,-61,-64,1.5
-71,-65,-65,1.5
-56,-64,-58,1.5
-70,-57,-62,1.5
-56,-71,-62,1.5
-62,-70,-63,1.5
-73,-64,-58,1.5
-71,-57,-58,1.5
-73,-62,-57,1.5
-71,-57,-57,1.5
-70,-56,-73,1.5
-65,-57,-72,1.5
-63,-58,-70,1.5
-62,-57,-73,1.5
-62,-57,-70,1.5
-64,-57,-72,1.5
-63,-57,-63,1.5
-58,-68,-62,1.5
-72,-65,-57,1.5
-73,-62,-57,1.5
-69,-64,-57,1.5
-72,-62,-57,1.5
-70,-70,-64,1.5
-71,-63,-70,1.5
-57,-71,-64,1.5
-72,-57,-62,1.5
-72,-56,-70,1.5
-56,-63,-56,1.5
-67,-61,-57,1.5
-69,-62,-57,1.5
-69,-64,-58,1.5
-73,-70,-70,1.5
-62,-58,-75,1.5
-63,-57,-69,1.5
-60,-58,-70,1.5
-62,-57,-72,1.5
-63,-70,-57,1.5
-72,-61,-63,1.5
-58,-70,-62,1.5
-57,-69,-63,1.5
-58,-57,-63,1.5
-58,-68,-62,1.5
-69,-64,-58,1.5
-69,-64,-57,1.5
-69,-57,-69,1.5
-64,-71,-57,1.5
-72,-62,-57,1.5
-69,-63,-57,1.5
-69,-72,-57,1.5
-62,-58,-70,1.5
-62,-62,-57,1.5
-71,-71,-71,1.5
-63,-57,-72,1.5
-63,-57,-71,1.5
-62,-58,-72,1.5
-57,-63,-58,1.5
-75,-62,-57,1.5
-71,-57,-71,1.5
-58,-57,-64,1.5
-58,-72,-59,1.5
-57,-71,-61,1.5
-71,-63,-70,1.5
-64,-70,-72,1.5
-60,-56,-58,1.5
-56,-62,-57,1.5
-71,-62,-56,1.5
-69,-64,-58,1.5
-70,-62,-57,1.5
-64,-57,-64,1.5
-72,-62,-57,1.5
-70,-57,-71,1.5
-63,-62,-57,1.5
-69,-63,-71,1.5
-68,-69,-64,1.5
-57,-70,-64,1.5
-69,-65,-57,1.5
-61,-57,-58,1.5
-71,-62,-58,1.5
-57,-62,-58,1.5
-71,-59,-57,1.5
-73,-63,-56,1.5
-73,-63,-58,1.5
-57,-60,-56,1.5
-71,-63,-69,1.5
-58,-56,-70,1.5
-64,-56,-64,1.5
-71,-56,-73,1.5
-63,-58,-63,1.5
-56,-64,-57,1.5
-71,-63,-64,1.5
-57,-60,-58,1.5
-72,-63,-56,1.5
-72,-64,-58,1.5
-63,-58,-74,1.5
-62,-75,-64,1.5
-68,-64,-57,1.5
-68,-64,-58,1.5
-72,-65,-57,1.5
-72,-63,-57,1.5
-70,-62,-56,1.5
-64,-56,-65,1.5
-57,-57,-73,1.5
-63,-57,-71,1.5
-64,-57,-73,1.5
-57,-61,-71,1.5
-58,-57,-70,1.5
-65,-58,-63,1.5
-58,-71,-57,1.5
-63,-57,-58,1.5
-71,-57,-64,1.5
-74,-63,-57,1.5
-58,-63,-71,1.5
-57,-63,-58,1.5
-57,-57,-58,1.5
-64,-57,-63,1.5
-72,-63,-56,1.5
-71,-64,-58,1.5
-63,-61,-58,1.5
-70,-57,-75,1.5
-63,-57,-70,1.5
-60,-56,-60,1.5
-55,-68,-62,1.5
-56,-71,-59,1.5
-56,-69,-59,1.5
-69,-57,-71,1.5
-59,-56,-67,1.5
-60,-59,-57,1.5
-72,-60,-69,1.5
-58,-57,-65,1.5
-60,-57,-70,1.5
-74,-60,-57,1.5
-68,-57,-65,1.5
-71,-59,-56,1.5
-71,-64,-62,1.5
-69,-59,-76,1.5
-64,-70,-61,1.5
-68,-61,-63,1.5
-59,-58,-56,1.5
-72,-61,-56,1.5
-68,-62,-59,1.5
